series,vintage,origin,survey_q,horizon_quarters,target_annualized_pct
core_cpi,first_release,2012Q4,2013Q1,1,2.0138202434026224
core_cpi,first_release,2012Q4,2013Q1,2,1.6971553110753077
core_cpi,first_release,2012Q4,2013Q1,4,1.677369963986668
core_cpi,first_release,2013Q1,2013Q2,1,1.3804903787479916
core_cpi,first_release,2013Q1,2013Q2,2,1.5759609469922915
core_cpi,first_release,2013Q1,2013Q2,4,1.572433845114719
core_cpi,first_release,2013Q2,2013Q3,1,1.771431515236601
core_cpi,first_release,2013Q2,2013Q3,2,1.6575846168980348
core_cpi,first_release,2013Q2,2013Q3,4,1.8537907998657808
core_cpi,first_release,2013Q3,2013Q4,1,1.5437377185595262
core_cpi,first_release,2013Q3,2013Q4,2,1.5689067432371724
core_cpi,first_release,2013Q3,2013Q4,4,1.7345228284330598
core_cpi,first_release,2013Q4,2014Q1,1,1.5940757679148279
core_cpi,first_release,2013Q4,2014Q1,2,2.0499969828335294
core_cpi,first_release,2013Q4,2014Q1,4,1.6974664302894162
core_cpi,first_release,2014Q1,2014Q2,1,2.5059181977522558
core_cpi,first_release,2014Q1,2014Q2,2,1.9001389136289428
core_cpi,first_release,2014Q1,2014Q2,4,1.6825438187401418
core_cpi,first_release,2014Q2,2014Q3,1,1.2943596295056672
core_cpi,first_release,2014Q2,2014Q3,2,1.3449358777452882
core_cpi,first_release,2014Q2,2014Q3,4,1.6715752954751566
core_cpi,first_release,2014Q3,2014Q4,1,1.395512125984925
core_cpi,first_release,2014Q3,2014Q4,2,1.46494872385132
core_cpi,first_release,2014Q3,2014Q4,4,1.767581352669018
core_cpi,first_release,2014Q4,2015Q1,1,1.5343853217176937
core_cpi,first_release,2014Q4,2015Q1,2,1.9982147132049832
core_cpi,first_release,2014Q4,2015Q1,4,1.9481802250991938
core_cpi,first_release,2015Q1,2015Q2,1,2.4620441046922634
core_cpi,first_release,2015Q1,2015Q2,2,2.07021398148671
core_cpi,first_release,2015Q1,2015Q2,4,2.212767411692303
core_cpi,first_release,2015Q2,2015Q3,1,1.6783838582811552
core_cpi,first_release,2015Q2,2015Q3,2,1.8981457369934083
core_cpi,first_release,2015Q2,2015Q3,4,2.1236463737543376
core_cpi,first_release,2015Q3,2015Q4,1,2.117907615705671
core_cpi,first_release,2015Q3,2015Q4,2,2.3553208418979104
core_cpi,first_release,2015Q3,2015Q4,4,2.178541884836984
core_cpi,first_release,2015Q4,2016Q1,1,2.592734068090139
core_cpi,first_release,2015Q4,2016Q1,2,2.3491470105152925
core_cpi,first_release,2015Q4,2016Q1,4,2.1337532555046606
core_cpi,first_release,2016Q1,2016Q2,1,2.105559952940396
core_cpi,first_release,2016Q1,2016Q2,2,2.001762927776062
core_cpi,first_release,2016Q1,2016Q2,4,2.092729327615922
core_cpi,first_release,2016Q2,2016Q3,1,1.8979659026117386
core_cpi,first_release,2016Q2,2016Q3,2,1.9183595004940417
core_cpi,first_release,2016Q2,2016Q3,4,1.7060721245520598
core_cpi,first_release,2016Q3,2016Q4,1,1.9387530983763681
core_cpi,first_release,2016Q3,2016Q4,2,2.1836957274558193
core_cpi,first_release,2016Q3,2016Q4,4,1.653170097725
core_cpi,first_release,2016Q4,2017Q1,1,2.428638356535217
core_cpi,first_release,2016Q4,2017Q1,2,1.4937847486100628
core_cpi,first_release,2016Q4,2017Q1,4,1.7299431342482938
core_cpi,first_release,2017Q1,2017Q2,1,0.5589311406848563
core_cpi,first_release,2017Q1,2017Q2,2,1.1226444679941756
core_cpi,first_release,2017Q1,2017Q2,4,1.8742341511312572
core_cpi,first_release,2017Q2,2017Q3,1,1.6863577953035065
core_cpi,first_release,2017Q2,2017Q3,2,1.9661015198865368
core_cpi,first_release,2017Q2,2017Q3,4,2.177455458272202
core_cpi,first_release,2017Q3,2017Q4,1,2.2458452444695203
core_cpi,first_release,2017Q3,2017Q4,2,2.6258238342683375
core_cpi,first_release,2017Q3,2017Q4,4,2.256532927807432
core_cpi,first_release,2017Q4,2018Q1,1,3.0058024240670767
core_cpi,first_release,2017Q4,2018Q1,2,2.388809396657883
core_cpi,first_release,2017Q4,2018Q1,4,2.201846659914141
core_cpi,first_release,2018Q1,2018Q2,1,1.7718163692486848
core_cpi,first_release,2018Q1,2018Q2,2,1.8872420213465593
core_cpi,first_release,2018Q1,2018Q2,4,2.0221354415740906
core_cpi,first_release,2018Q2,2018Q3,1,2.0026676734443147
core_cpi,first_release,2018Q2,2018Q3,2,2.0148839231703994
core_cpi,first_release,2018Q2,2018Q3,4,2.025904571218041
core_cpi,first_release,2018Q3,2018Q4,1,2.0271001728964837
core_cpi,first_release,2018Q3,2018Q4,2,2.1570288618016584
core_cpi,first_release,2018Q3,2018Q4,4,2.2648330913385366
core_cpi,first_release,2018Q4,2019Q1,1,2.286957550706818
core_cpi,first_release,2018Q4,2019Q1,2,2.03692521926569
core_cpi,first_release,2018Q4,2019Q1,4,2.279532843580541
core_cpi,first_release,2019Q1,2019Q2,1,1.7868928878245975
core_cpi,first_release,2019Q1,2019Q2,2,2.3726373208754103
core_cpi,first_release,2019Q1,2019Q2,4,2.215808891571747
core_cpi,first_release,2019Q2,2019Q3,1,2.9583817539262673
core_cpi,first_release,2019Q2,2019Q3,2,2.522140467895354
core_cpi,first_release,2019Q2,2019Q3,4,1.3641854831292073
core_cpi,first_release,2019Q3,2019Q4,1,2.0858991818644914
core_cpi,first_release,2019Q3,2019Q4,2,2.058980462268063
core_cpi,first_release,2019Q3,2019Q4,4,1.7000695681103313
core_cpi,first_release,2019Q4,2020Q1,1,2.0320617426716545
core_cpi,first_release,2019Q4,2020Q1,2,0.20623049836307386
core_cpi,first_release,2019Q4,2020Q1,4,1.6211947453674724
core_cpi,first_release,2020Q1,2020Q2,1,-1.619600745945548
core_cpi,first_release,2020Q1,2020Q2,2,1.3411586739525883
core_cpi,first_release,2020Q1,2020Q2,4,1.4548857424063875
core_cpi,first_release,2020Q2,2020Q3,1,4.301918093850713
core_cpi,first_release,2020Q2,2020Q3,2,3.0361589923718713
core_cpi,first_release,2020Q2,2020Q3,4,3.814590263509922
core_cpi,first_release,2020Q3,2020Q4,1,1.7703998908929899
core_cpi,first_release,2020Q3,2020Q4,2,1.5686128108602255
core_cpi,first_release,2020Q3,2020Q4,4,4.041794558314573
core_cpi,first_release,2020Q4,2021Q1,1,1.366825730827439
core_cpi,first_release,2020Q4,2021Q1,2,4.593021534648009
core_cpi,first_release,2020Q4,2021Q1,4,4.931626737425808
core_cpi,first_release,2021Q1,2021Q2,1,7.819217338468565
core_cpi,first_release,2021Q1,2021Q2,2,6.5149763057689105
core_cpi,first_release,2021Q1,2021Q2,4,6.158390182942433
core_cpi,first_release,2021Q2,2021Q3,1,5.210735273069266
core_cpi,first_release,2021Q2,2021Q3,2,5.270231940203622
core_cpi,first_release,2021Q2,2021Q3,4,5.810079715002119
core_cpi,first_release,2021Q3,2021Q4,1,5.329728607337961
core_cpi,first_release,2021Q3,2021Q4,2,5.801804060115941
core_cpi,first_release,2021Q3,2021Q4,4,6.067062198541287
core_cpi,first_release,2021Q4,2022Q1,1,6.273879512893957
core_cpi,first_release,2021Q4,2022Q1,2,6.349927489800626
core_cpi,first_release,2021Q4,2022Q1,4,5.809335187899243
core_cpi,first_release,2022Q1,2022Q2,1,6.425975466707287
core_cpi,first_release,2022Q1,2022Q2,2,6.332320336966654
core_cpi,first_release,2022Q1,2022Q2,4,5.348590165589074
core_cpi,first_release,2022Q2,2022Q3,1,6.238665207226031
core_cpi,first_release,2022Q2,2022Q3,2,5.268742885997875
core_cpi,first_release,2022Q2,2022Q3,4,4.898745151082855
core_cpi,first_release,2022Q3,2022Q4,1,4.29882056476967
core_cpi,first_release,2022Q3,2022Q4,2,4.364859994211492
core_cpi,first_release,2022Q3,2022Q4,4,4.041234863095663
core_cpi,first_release,2022Q4,2023Q1,1,4.430899423653239
core_cpi,first_release,2022Q4,2023Q1,2,4.528747416167839
core_cpi,first_release,2022Q4,2023Q1,4,3.7928121226034532
core_cpi,first_release,2023Q1,2023Q2,1,4.626595408682434
core_cpi,first_release,2023Q1,2023Q2,2,3.7176097319798074
core_cpi,first_release,2023Q1,2023Q2,4,3.735250930255095
core_cpi,first_release,2023Q2,2023Q3,1,2.8086240552771664
